,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed
217,177,Natu,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2,3,Synchronize,320,40,50,45,70,45,70
218,178,Xatu,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15,3,Synchronize,470,65,75,,95,70,95
219,179,Mareep,2,Normal,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,280,55,40,,65,45,35
220,180,Flaaffy,2,Normal,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,365,70,55,,80,60,45
221,181,Ampharos,2,Normal,Light Pokémon,1,Electric,,1.4,61.5,2,Static,510,90,75,,115,90,55
222,181,Mega Ampharos,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,610,90,95,,165,110,45
223,182,Bellossom,2,Normal,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,490,75,80,,90,100,50
224,183,Marill,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,250,70,20,,20,50,40
225,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,420,100,50,,60,80,50
226,185,Sudowoodo,2,Normal,Imitation Pokémon,1,Rock,,1.2,38,3,Sturdy,410,70,100,,30,65,30
227,186,Politoed,2,Normal,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,500,90,75,75,90,100,70
228,187,Hoppip,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,250,35,35,40,35,55,50
229,188,Skiploom,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1,3,Chlorophyll,340,55,45,50,45,65,80
230,189,Jumpluff,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3,3,Chlorophyll,460,75,55,70,55,95,110
231,190,Aipom,2,Normal,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,360,55,70,55,40,55,85
232,191,Sunkern,2,Normal,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,180,30,30,30,30,30,30
233,192,Sunflora,2,Normal,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,425,75,75,55,105,85,30
234,193,Yanma,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38,3,Speed Boost,390,65,65,45,75,45,95
235,194,Wooper,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,210,55,45,45,25,25,15
236,195,Quagsire,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75,3,Damp,430,95,85,,65,65,35
237,196,Espeon,2,Normal,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,525,65,65,60,130,95,110
238,197,Umbreon,2,Normal,Moonlight Pokémon,1,Dark,,1,27,2,Synchronize,525,95,65,110,60,130,65
239,198,Murkrow,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,405,60,85,42,85,42,91
240,199,Slowking,2,Normal,Royal Pokémon,2,Water,Psychic,2,79.5,3,Oblivious,490,95,75,80,100,110,30
241,200,Misdreavus,2,Normal,Screech Pokémon,1,Ghost,,0.7,1,1,Levitate,435,,60,60,85,85,85
242,201,Unown,2,Normal,Symbol Pokémon,1,Psychic,,0.5,5,1,Levitate,336,,72,48,72,48,48
243,202,Wobbuffet,2,Normal,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,405,,33,,33,58,33
244,203,Girafarig,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,455,,80,,90,65,85
245,204,Pineco,2,Normal,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,290,,65,90,35,35,15
246,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,465,,90,,60,60,40
247,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14,3,Serene Grace,415,,70,70,65,65,45
248,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,430,,75,105,35,65,85
249,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400,3,Rock Head,510,,85,200,55,65,30
250,208,Mega Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740,1,Sand Force,610,,125,230,55,95,30
251,209,Snubbull,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,300,60,80,50,40,40,30
252,210,Granbull,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,450,90,120,75,60,60,45
253,211,Qwilfish,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,440,65,95,85,55,55,85
254,212,Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118,3,Swarm,500,70,130,100,55,80,65
255,212,Mega Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,2,125,1,Technician,600,70,150,140,65,100,75
256,213,Shuckle,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,505,20,10,230,10,230,5
257,214,Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54,3,Swarm,500,80,125,75,40,95,85
258,214,Mega Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,600,80,185,115,40,105,75
259,215,Sneasel,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28,3,Inner Focus,430,55,95,55,35,75,115
260,216,Teddiursa,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,330,60,80,50,50,50,40
261,217,Ursaring,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,500,90,130,75,75,75,55
262,218,Slugma,2,Normal,Lava Pokémon,1,Fire,,0.7,35,3,Magma Armor,250,40,40,,70,40,20
263,219,Magcargo,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55,3,Magma Armor,430,60,50,120,90,80,30
264,220,Swinub,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,250,50,50,,30,30,50
265,221,Piloswine,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,450,100,100,80,60,60,50
266,222,Corsola,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5,3,Hustle,410,,55,95,65,95,35
267,222,Galarian Corsola,2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,410,,55,100,65,100,30
268,223,Remoraid,2,Normal,Jet Pokémon,1,Water,,0.6,12,3,Hustle,300,,65,35,65,35,65
269,224,Octillery,2,Normal,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,480,,105,75,105,75,45
270,225,Delibird,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16,3,Vital Spirit,330,,55,45,65,45,75
271,226,Mantine,2,Normal,Kite Pokémon,2,Water,Flying,2.1,220,3,Swift Swim,485,,40,70,80,140,70
272,227,Skarmory,2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,465,65,80,140,40,70,70
273,228,Houndour,2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,330,45,60,30,80,50,65
274,229,Houndoom,2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35,3,Early Bird,500,75,90,50,110,80,95
275,229,Mega Houndoom,2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,600,75,90,,140,90,115
276,230,Kingdra,2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152,3,Swift Swim,540,75,95,95,95,95,85
277,231,Phanpy,2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,330,90,60,,40,40,40
278,232,Donphan,2,Normal,Armor Pokémon,1,Ground,,1.1,120,2,Sturdy,500,90,120,,60,60,50
279,233,Porygon2,2,Normal,Virtual Pokémon,1,normal,,0.6,32.5,3,Trace,515,85,80,90,105,95,60
280,234,Stantler,2,Normal,Big Horn Pokémon,1,normal,,1.4,71.2,3,Intimidate,465,73,95,62,85,65,85
281,235,Smeargle,2,Normal,Painter Pokémon,1,normal,,1.2,58,3,Own Tempo,250,55,20,,20,45,75
282,236,Tyrogue,2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21,3,Guts,210,35,35,,35,35,35
283,237,Hitmontop,2,Normal,Handstand Pokémon,1,Fighting,,1.4,48,3,Intimidate,455,50,95,,35,110,70
284,238,Smoochum,2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6,3,Oblivious,305,45,30,,85,65,65
285,239,Elekid,2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,360,45,63,37,65,55,95
286,240,Magby,2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,365,45,75,37,70,55,83
287,241,Miltank,2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,490,95,80,105,40,70,100
288,242,Blissey,2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,540,,10,10,75,135,55
289,243,Raikou,2,Sub Legendary,Thunder Pokémon,1,Electric,,1.9,178,2,Pressure,580,90,85,,115,100,115
290,244,Entei,2,Sub Legendary,Volcano Pokémon,1,Fire,,2.1,198,2,Pressure,580,115,115,85,90,75,100
291,245,Suicune,2,Sub Legendary,Aurora Pokémon,1,Water,,2,187,2,Pressure,580,100,75,115,90,115,85
292,246,Larvitar,2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72,2,Guts,300,50,64,50,45,50,41
293,247,Pupitar,2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152,1,Shed Skin,410,70,84,,65,70,51
294,248,Tyranitar,2,Normal,Armor Pokémon,2,Rock,Dark,2,202,2,Sand Stream,600,100,134,110,95,100,61
295,248,Mega Tyranitar,2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255,1,Sand Stream,700,100,164,150,95,120,71
296,249,Lugia,2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216,2,Pressure,680,106,90,,90,154,110
297,250,Ho-oh,2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199,2,Pressure,680,106,130,90,110,154,90
298,251,Celebi,2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5,1,Natural Cure,600,100,100,100,100,100,100
299,252,Treecko,3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5,2,Overgrow,310,40,45,35,65,55,70
300,253,Grovyle,3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,405,50,65,,85,65,95
301,254,Sceptile,3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,530,70,85,65,105,85,120
302,254,Mega Sceptile,3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,630,70,110,75,145,85,145
303,255,Torchic,3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,310,,60,40,70,50,45
304,256,Combusken,3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,405,,85,60,85,60,55
305,257,Blaziken,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,2,Blaze,530,,120,70,110,70,80
306,257,Mega Blaziken,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,1,Speed Boost,630,80,160,80,130,80,100
307,258,Mudkip,3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,310,50,70,,50,50,40
308,259,Marshtomp,3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28,2,Torrent,405,70,85,70,60,70,50
309,260,Swampert,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,535,100,110,90,85,90,60
310,260,Mega Swampert,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102,1,Swift Swim,635,100,150,110,95,110,70
311,261,Poochyena,3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,220,35,55,35,30,30,35
312,262,Mightyena,3,Normal,Bite Pokémon,1,Dark,,1,37,3,Intimidate,420,70,90,,60,60,70
313,263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,240,38,30,41,30,41,60
314,263,Galarian Zigzagoon,3,Normal,Tiny Raccoon Pokémon,2,Dark,normal,0.4,17.5,3,Pickup,240,38,30,41,30,41,60
315,264,Linoone,3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,420,78,70,61,50,61,100
316,264,Galarian Linoone,3,Normal,Rushing Pokémon,2,Dark,normal,0.5,32.5,3,Pickup,420,78,70,61,50,61,100
317,265,Wurmple,3,Normal,Worm Pokémon,1,Bug,,0.3,3.6,2,Shield Dust,195,45,45,35,20,30,20
318,266,Silcoon,3,Normal,Cocoon Pokémon,1,Bug,,0.6,10,1,Shed Skin,205,50,35,55,25,25,15
319,267,Beautifly,3,Normal,Butterfly Pokémon,2,Bug,Flying,1,28.4,2,Swarm,395,60,70,50,100,50,65
320,268,Cascoon,3,Normal,Cocoon Pokémon,1,Bug,,0.7,11.5,1,Shed Skin,205,50,35,55,25,25,15
321,269,Dustox,3,Normal,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,2,Shield Dust,385,60,50,70,50,90,65
322,270,Lotad,3,Normal,Water Weed Pokémon,2,Water,Grass,0.5,2.6,3,Swift Swim,220,40,30,,40,50,30
323,271,Lombre,3,Normal,Jolly Pokémon,2,Water,Grass,1.2,32.5,3,Swift Swim,340,60,50,50,60,70,50
324,272,Ludicolo,3,Normal,Carefree Pokémon,2,Water,Grass,1.5,55,3,Swift Swim,480,80,70,70,90,100,70
325,273,Seedot,3,Normal,Acorn Pokémon,1,Grass,,0.5,4,3,Chlorophyll,220,40,40,,30,30,30
326,274,Nuzleaf,3,Normal,Wily Pokémon,2,Grass,Dark,1,28,3,Chlorophyll,340,70,70,40,60,40,60
327,275,Shiftry,3,Normal,Wicked Pokémon,2,Grass,Dark,1.3,59.6,3,Chlorophyll,480,90,100,60,90,60,80
328,276,Taillow,3,Normal,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,2,Guts,270,40,55,30,30,30,85
329,277,Swellow,3,Normal,Swallow Pokémon,2,Normal,Flying,0.7,19.8,2,Guts,455,60,85,60,75,50,125
330,278,Wingull,3,Normal,Seagull Pokémon,2,water,Flying,0.6,9.5,3,Keen Eye,270,40,30,30,55,30,85
331,279,Pelipper,3,Normal,Water Bird Pokémon,2,water,Flying,1.2,28,3,Keen Eye,440,60,50,100,95,70,65
332,280,Ralts,3,Normal,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,3,Synchronize,198,28,25,,45,35,40
333,281,Kirlia,3,Normal,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,3,Synchronize,278,38,35,35,65,55,50
334,282,Gardevoir,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,3,Synchronize,518,68,65,65,125,115,80
335,282,Mega Gardevoir,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,1,Pixilate,618,68,85,65,165,135,100
336,283,Surskit,3,Normal,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,2,Swift Swim,269,40,30,32,50,52,65
337,284,Masquerain,3,Normal,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,2,Intimidate,454,70,60,62,100,82,80
338,285,Shroomish,3,Normal,Mushroom Pokémon,1,Grass,,0.4,4.5,3,Effect Spore,295,60,40,60,40,60,35
339,286,Breloom,3,Normal,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,3,Effect Spore,460,60,130,,60,60,70
340,287,Slakoth,3,Normal,Slacker Pokémon,1,Normal,,0.8,24,1,Truant,280,60,60,60,35,35,30
341,288,Vigoroth,3,Normal,Wild Monkey Pokémon,1,Normal,,1.4,46.5,1,Vital Spirit,440,80,80,80,55,55,90
342,289,Slaking,3,Normal,Lazy Pokémon,1,Normal,,2,130.5,1,Truant,670,150,160,100,95,65,100
343,290,Nincada,3,Normal,Trainee Pokémon,2,Bug,Ground,0.5,5.5,2,Compound Eyes,266,31,45,90,30,30,40
344,291,Ninjask,3,Normal,Ninja Pokémon,2,Bug,Flying,0.8,12,2,Speed Boost,456,61,90,45,50,50,160
345,292,Shedinja,3,Normal,Shed Pokémon,2,Bug,Ghost,0.8,1.2,1,Wonder Guard,236,1,90,45,30,30,40
346,293,Whismur,3,Normal,Whisper Pokémon,1,Normal,,0.6,16.3,2,Soundproof,240,64,51,23,51,23,28
347,294,Loudred,3,Normal,Big Voice Pokémon,1,normal,,1,40.5,2,Soundproof,360,84,71,43,71,43,48
348,295,Exploud,3,Normal,Loud Noise Pokémon,1,normal,,1.5,84,2,Soundproof,490,104,91,63,91,73,68
349,296,Makuhita,3,Normal,Guts Pokémon,1,Fighting,,1,86.4,3,Thick Fat,237,72,60,30,20,30,25
350,297,Hariyama,3,Normal,Arm Thrust Pokémon,1,Fighting,,2.3,253.8,3,Thick Fat,474,144,120,60,40,60,50
351,298,Azurill,3,Normal,Polka Dot Pokémon,2,Normal,Fairy,0.2,2,3,Thick Fat,190,50,20,40,20,40,20
352,299,Nosepass,3,Normal,Compass Pokémon,1,Rock,,1,97,3,Sturdy,375,30,45,135,45,90,30
353,300,Skitty,3,Normal,Kitten Pokémon,1,Normal,,0.6,11,3,Cute Charm,260,50,45,45,35,35,50
354,301,Delcatty,3,Normal,Prim Pokémon,1,Normal,,1.1,32.6,3,Cute Charm,400,70,65,65,55,55,90
355,302,Sableye,3,Normal,Darkness Pokémon,2,Dark,Ghost,0.5,11,3,Keen Eye,380,50,75,75,65,65,50
356,302,Mega Sableye,3,Normal,Darkness Pokémon,2,Dark,Ghost,0.5,161,1,Magic Bounce,480,50,85,125,85,115,20
357,303,Mawile,3,Normal,Deceiver Pokémon,2,Steel,Fairy,0.6,11.5,3,Hyper Cutter,380,50,85,85,55,55,50
358,303,Mega Mawile,3,Normal,Deceiver Pokémon,2,Steel,Fairy,1,23.5,1,Huge Power,480,50,105,125,55,95,50
359,304,Aron,3,Normal,Iron Armor Pokémon,2,Steel,Rock,0.4,60,3,Sturdy,330,50,70,100,40,40,30
360,305,Lairon,3,Normal,Iron Armor Pokémon,2,Steel,Rock,0.9,120,3,Sturdy,430,60,90,140,50,50,40
361,306,Aggron,3,Normal,Iron Armor Pokémon,2,Steel,Rock,2.1,360,3,Sturdy,530,70,110,180,60,60,50
362,306,Mega Aggron,3,Normal,Iron Armor Pokémon,1,Steel,,2.2,395,1,Filter,630,70,140,230,60,80,50
363,307,Meditite,3,Normal,Meditate Pokémon,2,Fighting,Psychic,0.6,11.2,2,Pure Power,280,30,40,55,40,55,60
364,308,Medicham,3,Normal,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,2,Pure Power,410,60,60,75,60,75,80
365,308,Mega Medicham,3,Normal,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,1,Pure Power,510,60,100,,80,85,100
366,309,Electrike,3,Normal,Lightning Pokémon,1,Electric,,0.6,15.2,3,Static,295,40,45,40,65,40,65
367,310,Manectric,3,Normal,Discharge Pokémon,1,Electric,,1.5,40.2,3,Static,475,70,75,60,105,60,105
368,310,Mega Manectric,3,Normal,Discharge Pokémon,1,Electric,,1.8,44,1,Intimidate,575,70,75,80,135,80,135
369,311,Plusle,3,Normal,Cheering Pokémon,1,Electric,,0.4,4.2,2,Plus,405,60,50,40,85,75,95
370,312,Minun,3,Normal,Cheering Pokémon,1,Electric,,0.4,4.2,2,Minus,405,60,40,50,75,85,95
371,313,Volbeat,3,Normal,Firefly Pokémon,1,Bug,,0.7,17.7,3,Illuminate,430,65,73,75,47,85,85
372,314,Illumise,3,Normal,Firefly Pokémon,1,Bug,,0.6,17.7,3,Oblivious,430,65,47,,73,85,85
373,315,Roselia,3,Normal,Thorn Pokémon,2,Grass,Poison,0.3,2,3,Natural Cure,400,50,60,45,100,80,65
374,316,Gulpin,3,Normal,Stomach Pokémon,1,Poison,,0.4,10.3,3,Liquid Ooze,302,70,43,53,43,53,40
375,317,Swalot,3,Normal,Poison Bag Pokémon,1,Poison,,1.7,80,3,Liquid Ooze,467,100,73,83,73,83,55
376,318,Carvanha,3,Normal,Savage Pokémon,2,water,Dark,0.8,20.8,2,Rough Skin,305,45,90,20,65,20,65
377,319,Sharpedo,3,Normal,Brutal Pokémon,2,water,Dark,1.8,88.8,2,Rough Skin,460,70,120,,95,40,95
378,319,Mega Sharpedo,3,Normal,Brutal Pokémon,2,water,Dark,2.5,130.3,1,Strong Jaw,560,70,140,70,110,65,105
379,320,Wailmer,3,Normal,Ball Whale Pokémon,1,water,,2,130,3,Water Veil,400,130,70,35,70,35,60
380,321,Wailord,3,Normal,Float Whale Pokémon,1,water,,14.5,398,3,Water Veil,500,170,90,45,90,45,60
381,322,Numel,3,Normal,Numb Pokémon,2,Fire,Ground,0.7,24,3,Oblivious,305,60,60,40,65,45,35
382,323,Camerupt,3,Normal,Eruption Pokémon,2,Fire,Ground,1.9,220,3,Magma Armor,460,70,100,70,105,75,40
383,323,Mega Camerupt,3,Normal,Eruption Pokémon,2,Fire,Ground,2.5,320.5,1,Sheer Force,560,70,120,100,145,105,20
384,324,Torkoal,3,Normal,Coal Pokémon,1,Fire,,0.5,80.4,3,White Smoke,470,70,85,140,85,70,20
385,325,Spoink,3,Normal,Bounce Pokémon,1,Psychic,,0.7,30.6,3,Thick Fat,330,60,25,35,70,80,60
386,326,Grumpig,3,Normal,Manipulate Pokémon,1,Psychic,,0.9,71.5,3,Thick Fat,470,80,45,65,90,110,80
387,327,Spinda,3,Normal,Spot Panda Pokémon,1,Normal,,1.1,5,3,Own Tempo,360,60,60,60,60,60,60
388,328,Trapinch,3,Normal,Ant Pit Pokémon,1,Ground,,0.7,15,3,Hyper Cutter,290,45,100,45,45,45,10
389,329,Vibrava,3,Normal,Vibration Pokémon,2,Ground,Dragon,1.1,15.3,1,Levitate,340,50,70,50,50,50,70
390,330,Flygon,3,Normal,Mystic Pokémon,2,Ground,Dragon,2,82,1,Levitate,520,80,100,80,80,80,100
391,331,Cacnea,3,Normal,Cactus Pokémon,1,Grass,,0.4,51.3,2,Sand Veil,335,50,85,40,85,40,35
392,332,Cacturne,3,Normal,Scarecrow Pokémon,2,Grass,Dark,1.3,77.4,2,Sand Veil,475,70,115,60,115,60,55
393,333,Swablu,3,Normal,Cotton Bird Pokémon,2,Normal,Flying,0.4,1.2,2,Natural Cure,310,45,40,60,40,75,50
394,334,Altaria,3,Normal,Humming Pokémon,2,Dragon,Flying,1.1,20.6,2,Natural Cure,490,75,70,90,70,105,80
395,334,Mega Altaria,3,Normal,Humming Pokémon,2,Dragon,Fairy,1.5,20.6,1,Pixilate,590,75,110,110,110,105,80
396,335,Zangoose,3,Normal,Cat Ferret Pokémon,1,Normal,,1.3,40.3,2,Immunity,458,73,115,60,60,60,90
397,336,Seviper,3,Normal,Fang Snake Pokémon,1,Poison,,2.7,52.5,2,Shed Skin,458,73,100,60,100,60,65
398,337,Lunatone,3,Normal,Meteorite Pokémon,2,Rock,Psychic,1,168,1,Levitate,460,90,55,65,95,85,70
399,338,Solrock,3,Normal,Meteorite Pokémon,2,Rock,Psychic,1.2,154,1,Levitate,460,90,95,85,55,65,70
400,339,Barboach,3,Normal,Whiskers Pokémon,2,Water,Ground,0.4,1.9,3,Oblivious,288,50,48,43,46,41,60
401,340,Whiscash,3,Normal,Whiskers Pokémon,2,watr,Ground,0.9,23.6,3,Oblivious,468,110,78,73,76,71,60
402,341,Corphish,3,Normal,Ruffian Pokémon,1,watr,,0.6,11.5,3,Hyper Cutter,308,43,80,65,50,35,35
403,342,Crawdaunt,3,Normal,Rogue Pokémon,2,Water,Dark,1.1,32.8,3,Hyper Cutter,468,63,120,85,90,55,55
404,343,Baltoy,3,Normal,Clay Doll Pokémon,2,Ground,Psychic,0.5,21.5,1,Levitate,300,40,40,55,40,70,55
405,344,Claydol,3,Normal,Clay Doll Pokémon,2,Ground,Psychic,1.5,108,1,Levitate,500,60,70,,70,120,75
406,345,Lileep,3,Normal,Sea Lily Pokémon,2,Rock,Grass,1,23.8,2,Suction Cups,355,66,41,77,61,87,23
407,346,Cradily,3,Normal,Barnacle Pokémon,2,Rock,Grass,1.5,60.4,2,Suction Cups,495,86,81,97,81,107,43
408,347,Anorith,3,Normal,Old Shrimp Pokémon,2,Rock,Bug,0.7,12.5,2,Battle Armor,355,45,95,50,40,50,75
409,348,Armaldo,3,Normal,Plate Pokémon,2,Rock,Bug,1.5,68.2,2,Battle Armor,495,75,125,100,70,80,45
410,349,Feebas,3,Normal,Fish Pokémon,1,Water,,0.6,7.4,3,Swift Swim,200,20,15,,10,55,80
411,350,Milotic,3,Normal,Tender Pokémon,1,Water,,6.2,162,3,Marvel Scale,540,95,60,79,100,125,81
412,351,Castform,3,Normal,Weather Pokémon,1,Normal,,0.3,0.8,1,Forecast,420,70,70,70,70,70,70
413,351,Castform Sunny Form,3,Normal,Weather Pokémon,1,Fire,,0.3,0.8,1,Forecast,420,70,70,70,70,70,70
414,351,Castform Rainy Form,3,Normal,Weather Pokémon,1,Water,,0.3,0.8,1,Forecast,420,70,70,70,70,70,70
415,351,Castform Snowy Form,3,Normal,Weather Pokémon,1,Ice,,0.3,0.8,1,Forecast,420,70,70,,70,70,70
416,352,Kecleon,3,Normal,Color Swap Pokémon,1,Normal,,1,22,2,Color Change,440,60,90,70,60,120,40
417,353,Shuppet,3,Normal,Puppet Pokémon,1,Ghost,,0.6,2.3,3,Insomnia,295,44,75,35,63,33,45
418,354,Banette,3,Normal,Marionette Pokémon,1,Ghost,,1.1,12.5,3,Insomnia,455,64,115,65,83,63,65
419,354,Mega Banette,3,Normal,Marionette Pokémon,1,Ghost,,1.2,13,1,Prankster,555,64,165,75,93,83,75
420,355,Duskull,3,Normal,Requiem Pokémon,1,Ghost,,0.8,15,2,Levitate,295,20,40,90,30,90,25
421,356,Dusclops,3,Normal,Beckon Pokémon,1,Ghost,,1.6,30.6,2,Pressure,455,40,70,,60,130,25
422,357,Tropius,3,Normal,Fruit Pokémon,2,Grass,Flying,2,100,3,Chlorophyll,460,99,68,83,72,87,51
423,358,Chimecho,3,Normal,Wind Chime Pokémon,1,Psychic,,0.6,1,1,Levitate,455,75,50,80,95,90,65
424,359,Absol,3,Normal,Disaster Pokémon,1,Dark,,1.2,47,3,Pressure,465,65,130,60,75,60,75
425,359,Mega Absol,3,Normal,Disaster Pokémon,1,Dark,,1.2,49,1,Magic Bounce,565,65,150,,115,60,115
426,360,Wynaut,3,Normal,Bright Pokémon,1,Psychic,,0.6,14,2,Shadow Tag,260,95,23,48,23,48,23
427,361,Snorunt,3,Normal,Snow Hat Pokémon,1,Ice,,0.7,16.8,3,Inner Focus,300,50,50,50,50,50,50
428,362,Glalie,3,Normal,Face Pokémon,1,Ice,,1.5,256.5,3,Inner Focus,480,80,80,80,80,80,80
429,362,Mega Glalie,3,Normal,Face Pokémon,1,Ice,,2.1,350.2,1,Refrigerate,580,80,120,80,120,80,100
430,363,Spheal,3,Normal,Clap Pokémon,2,Ice,Water,0.8,39.5,3,Thick Fat,290,70,40,,55,50,25
431,364,Sealeo,3,Normal,Ball Roll Pokémon,2,Ice,Water,1.1,87.6,3,Thick Fat,410,90,60,70,75,70,45
432,365,Walrein,3,Normal,Ice Break Pokémon,2,Ice,Water,1.4,150.6,3,Thick Fat,530,110,80,90,95,90,65
433,366,Clamperl,3,Normal,Bivalve Pokémon,1,watr,,0.4,52.5,2,Shell Armor,345,35,64,85,74,55,32
